tree_id,block_id,tree_dbh,stump_diam
207,314009,18,0
208,314009,15,0
209,314009,17,0
210,501867,7,0
211,501867,3,0
212,501841,7,0
213,501841,8,0
214,501841,4,0
215,501892,12,0
216,501892,11,0
217,501892,12,0
218,501892,3,0
219,501892,9,0
220,501892,12,0
221,501892,11,0
222,501892,10,0
223,501892,8,0
224,501892,6,0
225,501892,6,0
226,501892,7,0
227,501892,7,0
228,501892,3,0
229,501892,15,0
230,501892,12,0
231,501892,0,12
232,501892,4,0
305,501897,5,0
306,501897,5,0
307,501897,5,0
308,501897,4,0
309,501897,4,0
310,501897,5,0
311,501897,4,0
312,501897,9,0
313,501897,2,0
314,501897,4,0
315,501897,4,0
316,501897,6,0
317,501897,5,0
318,501897,5,0
319,501897,2,0
320,501897,5,0
321,501897,5,0
322,501897,4,0
323,501897,4,0
324,501897,5,0
325,501897,5,0
344,501893,6,0
345,501893,11,0
346,501893,4,0
347,501893,5,0
348,501893,0,7
349,501893,3,0
350,501893,14,0
351,501893,11,0
352,501893,10,0
353,501893,7,0
354,501893,15,0
355,501893,10,0
356,107255,5,0
357,107255,6,0
358,107255,10,0
359,107255,10,0
360,413051,6,0
361,413051,5,0
362,413051,4,0
363,413051,4,0
364,413051,3,0
365,413051,5,0
366,413051,4,0
367,413051,14,0
368,413051,12,0
369,413051,11,0
370,413051,8,0
371,413051,14,0
372,413051,12,0
373,413051,9,0
374,413051,12,0
375,413051,11,0
376,413051,7,0
377,413051,8,0
378,413051,10,0
379,413051,10,0
380,413051,12,0
381,413051,11,0
382,413051,12,0
383,413051,5,0
384,413051,5,0
385,413051,6,0
386,413052,0,9
387,413052,0,9
388,413052,8,0
389,413052,5,0
390,413052,5,0
391,413052,5,0
392,413052,6,0
393,413052,6,0
394,107288,12,0
395,107288,12,0
396,107288,11,0
397,413086,12,0
398,413086,8,0
399,413086,9,0
400,413086,5,0
401,413086,5,0
402,413086,5,0
403,413086,0,8
404,413086,2,0
405,413086,2,0
406,413086,2,0
407,207803,14,0
408,207803,0,18
409,207803,14,0
410,207803,14,0
411,207803,22,0
412,207803,15,0
413,207803,19,0
414,207803,14,0
415,207803,18,0
419,107278,7,0
420,107278,7,0
421,107278,7,0
422,107188,8,0
423,107188,8,0
424,107188,5,0
425,107188,10,0
426,107188,14,0
427,207088,2,0
428,207088,2,0
429,207088,2,0
430,207088,2,0
431,107256,11,0
432,107256,12,0
433,107256,12,0
434,207945,3,0
435,207945,3,0
436,207945,3,0
437,207945,3,0
438,207945,3,0
439,207112,6,0
440,207112,6,0
441,207112,8,0
442,507568,2,0
443,507568,2,0
444,507568,11,0
445,107277,11,0
446,107277,11,0
447,107277,9,0
448,107277,11,0
449,107277,12,0
450,107277,13,0
451,107277,9,0
452,107277,11,0
453,107285,6,0
454,107285,0,4
455,107285,5,0
456,107285,5,0
457,207802,2,0
458,207802,2,0
459,207802,8,0
460,207041,10,0
461,207041,0,7
462,207041,0,9
463,207041,0,11
464,207041,0,11
465,516271,1,0
466,516271,2,0
467,516271,26,0
468,516271,4,0
469,516271,13,0
470,516271,2,0
471,207199,4,0
472,207199,3,0
473,207199,4,0
474,207199,4,0
475,207199,4,0
476,207199,4,0
477,207199,0,3
478,207199,4,0
479,207199,2,0
480,207199,2,0
481,507598,12,0
482,507598,13,0
483,207201,5,0
484,207201,4,0
485,507613,2,0
486,507613,3,0
487,507613,3,0
488,507613,25,0
489,507599,11,0
490,507599,11,0
491,507599,14,0
492,507599,22,0
493,507599,2,0
494,507599,3,0
495,507599,10,0
496,507599,2,0
497,507599,2,0
498,507599,13,0
499,207200,19,0
500,207200,26,0
501,207200,21,0
502,207200,19,0
503,207200,14,0
504,207200,14,0
505,207200,5,0
506,207200,19,0
507,207200,15,0
508,207200,0,11
509,207200,0,15
510,207200,0,6
511,207200,19,0
514,507614,17,0
515,507614,12,0
516,507539,13,0
517,507539,15,0
518,507539,12,0
519,507539,2,0
520,507539,16,0
521,507539,2,0
529,507615,2,0
530,507615,2,0
531,507615,25,0
532,507615,2,0
533,507615,21,0
534,507615,2,0
535,343368,15,0
